id,name,formula,description,category,subject
150,Integration of 1/x,∫(1/x)dx = ln|x| + C,The integral of reciprocal function is natural logarithm of absolute value.,Rule,Mathematics
151,Integration by Substitution,∫f(g(x))g'(x)dx = ∫f(u)du,Technique for integration using substitution u = g(x).,Rule,Mathematics
152,Fundamental Theorem of Algebra,Every polynomial of degree n has exactly n complex roots,A polynomial equation of degree n has exactly n roots in the complex number system.,Theorem,Mathematics
153,Remainder Theorem,P(a) = remainder when P(x) is divided by (x-a),"When a polynomial P(x) is divided by (x-a), the remainder is P(a).",Theorem,Mathematics
154,Factor Theorem,"If P(a) = 0, then (x-a) is a factor of P(x)",A polynomial has (x-a) as a factor if and only if P(a) = 0.,Theorem,Mathematics
155,Rational Root Theorem,Possible rational roots = ±(factors of constant)/(factors of leading coefficient),Lists all possible rational roots of a polynomial equation with integer coefficients.,Theorem,Mathematics
156,Pascal's Triangle,Each number is sum of two numbers directly above it,A triangular array of binomial coefficients used in combinatorics and algebra.,Principle,Mathematics
157,Permutation Formula,"P(n,r) = n!/(n-r)!",The number of ways to arrange r objects from n distinct objects.,Formula,Mathematics
158,Combination Formula,"C(n,r) = n!/(r!(n-r)!)",The number of ways to choose r objects from n distinct objects without regard to order.,Formula,Mathematics
159,Binomial Coefficient,"C(n,k) = n!/(k!(n-k)!)","The coefficient of x^k in expansion of (1+x)^n, also written as (n choose k).",Formula,Mathematics
160,Expected Value,E[X] = Σx·P(x),"The average value of a random variable, weighted by probability distribution.",Formula,Mathematics
161,Variance,Var(X) = E[X²] - (E[X])²,The measure of spread or dispersion of a probability distribution.,Formula,Mathematics
162,Standard Deviation,σ = √Var(X),"The square root of variance, measuring spread in same units as the variable.",Formula,Mathematics
163,Normal Distribution,f(x) = (1/(σ√(2π)))e^(-(x-μ)²/(2σ²)),The probability density function of the bell-shaped normal distribution.,Formula,Mathematics
164,Z-Score,z = (x - μ)/σ,The number of standard deviations a value is from the mean in a normal distribution.,Formula,Mathematics
165,Correlation Coefficient,r = Σ((x-x̄)(y-ȳ))/(√(Σ(x-x̄)²)√(Σ(y-ȳ)²)),Measures the strength and direction of linear relationship between two variables.,Formula,Mathematics
166,Linear Regression Slope,m = r(σ_y/σ_x),The slope of the least-squares regression line relating two variables.,Formula,Mathematics
167,Matrix Multiplication,(AB)_ij = ΣA_ik B_kj,"The element in row i, column j of product matrix equals sum of products of corresponding elements.",Rule,Mathematics
168,Determinant of 2x2 Matrix,det(A) = ad - bc,"For matrix [[a,b],[c,d]], the determinant equals ad minus bc.",Formula,Mathematics
169,Inverse of 2x2 Matrix,"A⁻¹ = (1/det(A))[[d,-b],[-c,a]]","The inverse of a 2x2 matrix, if determinant is non-zero.",Formula,Mathematics
170,Dot Product,a·b = |a||b|cos(θ) = Σa_i b_i,"The scalar product of two vectors, equal to product of magnitudes and cosine of angle.",Formula,Mathematics
171,Cross Product,a × b = |a||b|sin(θ)n,"The vector product of two vectors, perpendicular to both, with magnitude equal to area of parallelogram.",Formula,Mathematics
172,Magnitude of Vector,|v| = √(v₁² + v₂² + v₃²),The length or magnitude of a vector in three-dimensional space.,Formula,Mathematics
173,Unit Vector,û = v/|v|,"A vector with magnitude 1, pointing in same direction as original vector.",Formula,Mathematics
174,Polar to Cartesian Conversion,"x = r cos(θ), y = r sin(θ)","Converts polar coordinates (r,θ) to Cartesian coordinates (x,y).",Formula,Mathematics
175,Cartesian to Polar Conversion,"r = √(x² + y²), θ = arctan(y/x)","Converts Cartesian coordinates (x,y) to polar coordinates (r,θ).",Formula,Mathematics
176,Euler's Totient Function,φ(n) = n × Π(1 - 1/p) for prime factors p,Counts positive integers up to n that are relatively prime to n.,Function,Mathematics
177,Fermat's Little Theorem,"a^(p-1) ≡ 1 (mod p) for prime p and gcd(a,p)=1","If p is prime and a is not divisible by p, then a raised to (p-1) is congruent to 1 modulo p.",Theorem,Mathematics
178,Chinese Remainder Theorem,System x ≡ a_i (mod n_i) has unique solution modulo product of n_i,Provides conditions for existence and uniqueness of solutions to simultaneous congruences.,Theorem,Mathematics
179,L'Hôpital's Rule (Extended),lim f/g = lim f'/g' = lim f''/g'' = ...,Can be applied repeatedly if first application yields indeterminate form.,Rule,Mathematics
180,Maclaurin Series,f(x) = Σ[n=0 to ∞] (f^(n)(0)/n!)x^n,"Taylor series expansion centered at zero, representing function as infinite polynomial.",Series,Mathematics
181,Geometric Series Sum,Σ[n=0 to ∞] ar^n = a/(1-r) for |r| < 1,The sum of infinite geometric series converges when common ratio has absolute value less than 1.,Formula,Mathematics
182,Riemann Sum,Σ f(x_i*)Δx,Approximation of definite integral using sum of function values times subinterval widths.,Formula,Mathematics
183,Trapezoidal Rule,∫[a to b] f(x)dx ≈ (b-a)/2n [f(x₀) + 2Σf(x_i) + f(x_n)],Numerical integration method approximating area under curve using trapezoids.,Rule,Mathematics
184,Simpson's Rule,∫[a to b] f(x)dx ≈ (b-a)/6n [f(x₀) + 4Σf(x_odd) + 2Σf(x_even) + f(x_n)],"Numerical integration method using parabolic approximations, more accurate than trapezoidal rule.",Rule,Mathematics
185,Cell Theory,All living things are composed of cells; cells are the basic unit of life; cells arise from pre-existing cells,"The fundamental principle that all living organisms are composed of one or more cells, and that cells are the basic structural and functional units of life.",Theory,Biology
186,Theory of Evolution by Natural Selection,Variation + Inheritance + Selection = Evolution,"Organisms with traits better suited to their environment are more likely to survive and reproduce, passing those traits to offspring.",Theory,Biology
187,Mendel's Laws of Inheritance,Law of Segregation: Alleles separate during gamete formation; Law of Independent Assortment: Genes for different traits assort independently,Fundamental principles of genetics describing how traits are inherited from parents to offspring.,Law,Biology
188,Hardy-Weinberg Principle,p² + 2pq + q² = 1,"In a population with no evolutionary forces, allele and genotype frequencies remain constant from generation to generation.",Principle,Biology
189,Central Dogma of Molecular Biology,DNA → RNA → Protein,"The flow of genetic information from DNA to RNA to protein, with DNA replication as the exception.",Principle,Biology
190,Watson-Crick Base Pairing,"A-T (2 H-bonds), G-C (3 H-bonds)","The specific pairing of nucleotide bases in DNA: adenine with thymine, and guanine with cytosine.",Principle,Biology
191,Chargaff's Rules,"A = T, G = C, (A + G) = (T + C)","In DNA, the amount of adenine equals thymine, and guanine equals cytosine.",Rule,Biology
192,Michaelis-Menten Equation,v = (V_max × [S])/(K_m + [S]),Describes the rate of enzymatic reactions as a function of substrate concentration.,Equation,Biology
193,Photosynthesis Equation,6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂,The process by which plants convert carbon dioxide and water into glucose using light energy.,Equation,Biology
194,Cellular Respiration Equation,C₆H₁₂O₆ + 6O₂ → 6CO₂ + 6H₂O + ATP,The process by which cells break down glucose to produce ATP (energy) in the presence of oxygen.,Equation,Biology
195,ATP Production Formula,ATP = ADP + Pᵢ + energy,"Adenosine triphosphate is formed from adenosine diphosphate and inorganic phosphate, storing energy.",Formula,Biology
196,Population Growth (Exponential),N(t) = N₀e^(rt),"Describes population growth when resources are unlimited, where r is the growth rate.",Formula,Biology
197,Logistic Growth Model,dN/dt = rN(1 - N/K),"Describes population growth with carrying capacity K, showing S-shaped growth curve.",Formula,Biology
198,Nernst Equation,E = E° - (RT/nF)ln(Q),Calculates the equilibrium potential for an ion across a membrane based on concentration gradient.,Equation,Biology
199,Fick's Law of Diffusion,J = -D(dC/dx),The rate of diffusion is proportional to the concentration gradient and inversely proportional to distance.,Law,Biology
200,Boyle's Law (Biological Application),P₁V₁ = P₂V₂,"In respiratory physiology, the relationship between pressure and volume in the lungs.",Law,Biology
201,Cardiac Output,CO = HR × SV,"The volume of blood pumped by the heart per minute, equal to heart rate times stroke volume.",Formula,Biology
202,Blood Pressure,BP = CO × TPR,Blood pressure equals cardiac output multiplied by total peripheral resistance.,Formula,Biology
203,Genotype Frequency,"f(AA) = p², f(Aa) = 2pq, f(aa) = q²","In Hardy-Weinberg equilibrium, genotype frequencies are determined by allele frequencies.",Formula,Biology
204,Allele Frequency,p + q = 1,The sum of allele frequencies for a gene locus equals 1 in a population.,Formula,Biology
205,Heritability,h² = V_G/V_P,The proportion of phenotypic variance attributable to genetic variance.,Formula,Biology
206,DNA Replication Semi-Conservative Model,Parent DNA → 2 Daughter DNA (each with one old and one new strand),Each DNA molecule consists of one original strand and one newly synthesized strand.,Principle,Biology
207,Genetic Code,64 codons code for 20 amino acids + 3 stop codons,The universal code by which nucleotide triplets (codons) specify amino acids in proteins.,Principle,Biology
208,Allometric Scaling,Y = aM^b,"The relationship between body size and biological variables, often following power laws.",Principle,Biology
209,Metabolic Rate (Kleiber's Law),BMR ∝ M^(3/4),Basal metabolic rate scales to the 3/4 power of body mass across species.,Law,Biology
210,Species-Area Relationship,S = cA^z,"The number of species increases with area, following a power law relationship.",Principle,Biology
211,Lotka-Volterra Predator-Prey Model,"dN/dt = rN - aNP, dP/dt = baNP - mP",Mathematical model describing the dynamics of predator and prey populations.,Model,Biology
212,Competitive Exclusion Principle,Two species cannot occupy the same ecological niche indefinitely,"When two species compete for the same limited resource, one will eventually outcompete the other.",Principle,Biology
213,Ecological Succession,Pioneer species → Intermediate species → Climax community,The process by which the structure of a biological community evolves over time.,Principle,Biology
214,Homeostasis,Set point → Sensor → Control center → Effector → Response,The maintenance of a stable internal environment despite external changes.,Principle,Biology
215,Negative Feedback Loop,Stimulus → Response → Reduced stimulus,"A regulatory mechanism where the output reduces the initial stimulus, maintaining homeostasis.",Principle,Biology
